handy_id,Title,Author,ISBN
1,Novokřtěnci v Münsteru,"Vlnas, Vít",9788071065050
2,Leonardo and the Last Supper,"King, Ross",9781408831182
3,Sága rodu Forsythû - K pronajmutí,"Galsworthy, John",8020703047
4,Progress to Proficiency Student's book: New Edition (New Progress to First Certificate),"Jones, Leo",9780521425759
5,Uncovering Grammar,"Thornbury, Scott",9780333952825
6,Certificate in Advanced English Practice Tests Student's Book With Key New Edition,"Harrison, Mark",9780194533935
7,The English Hub 1 Student's Book,,9789605098711
8,New Cambridge Advanced English Teacher's book,"Jones, Leo",9780521629416
9,New Cambridge Advanced English Student's book,"Jones, Leo",9780521629393
10,New Progress to First Certificate Workbook with answers,"Jones, Leo",9780521774253
11,New Progress to First Certificate Self-study student's book,"Jones, Leo",9780521499880
12,Nová cvičebnice anglické gramatiky: 8500 příkladů s řešením na protější straně,"Gráf, Tomáš",9788086195001
13,Francouzské pohádky & bajky,"Perrault, Charles",9788086113517
14,Progress to Proficiency Teacher's book: New Edition (New Progress to First Certificate),"Jones, Leo",9780521425742
15,English Grammar in Use,"Murphy, Raymond",9780521436809
16,Essential Grammar in Use,"Murphy, Raymond",9780521357708
17,English for Business Communication Student's book,"Sweeney, Simon",9780521446204
18,The Vanishing Velázquez: A 19th Century Bookseller's Obsession with a Lost Masterpiece,"Cumming, Laura",9781476762180
19,Oxford Collocations Dictionary for Students of English,"McIntosh, Colin",9780194312431
20,Cambridge Grammar of English Paperback with CD-ROM: A Comprehensive Guide,"Wells, Arthur James",9780521674393
21,An introduction to Pontormo: “A great but neglected painter and draftsman of the first part of the 16th century”,"Jones, Jonah",9788856403732
22,František Josef Šlik a česká barokní krajina,"Rychnová, Lucie",9788088013990
23,Katedrála v Remeši,"Kováč, Peter",9788090429857
24,Gardner's Art Through the Ages,"Croix, Horst de la",9780155037694
25,The Florentines: From Dante to Galileo,"Strathern, Paul",9781786498748
26,A Little Life,"Yanagihara, Hanya",9781447294832
27,The Marriage of Cadmus and Harmony,"Calasso, Roberto",9780241399200
28,Hamnet,"O'Farrell, Maggie",9781472223821
29,The Kite Runner,"Hosseini, Khaled",9781408824863
30,The Stationery Shop of Tehran,"Kamali, Marjan",9781471185014
31,Homage to Catalonia,"Orwell, George",9780141183053
32,The Closing of the Western Mind: The Rise of Faith and the Fall of Reason,"Freeman, Charles",9781400033805
33,SPQR,"Beard, Mary",9781846683817
34,Emperor,"Beard, Mary",9781846683794
35,History of the World in Twelve Maps,"Brotton, Jerry",9780141034935
36,"Guns, Germs and Steel: A Short History of Everybody for the Last 13,000 Years","Diamond, Jared",9780099302780
