id,nazev,autor,puvodni_url,soubor
7,Sv. Vavřinec,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI1NzU5M2pwZzI=.jpg,0007_sv-vavrinec.jpg
8,Sv. Jeroným,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI1NzYyMGpwZzI=.jpg,0008_sv-jeronym.jpg
9,Ukřižovaný Kristus,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI1NzY3OWpwZzI=.jpg,0009_ukrizovany-kristus.jpg
10,Podobizna opata Otmara Daniela Zinkeho,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI1NzY0MmpwZzI=.jpg,0010_podobizna-opata-otmara-daniela-zinkeho.jpg
11,Stařena s hrncem,Petr Brandl – okruh,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTUwMTM3N2pwZzI=.jpg,0011_starena-s-hrncem.jpg
12,Felčar a dvě ženy,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI1NzA4NWpwZzI=.jpg,0012_felcar-a-dve-zeny.jpg
13,Kázání sv. Jana Křtitele,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI1NTk2N2pwZzI=.jpg,0013_kazani-sv-jana-krtitele.jpg
14,Narození Panny Marie,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI1NzUwMGpwZzI=.jpg,0014_narozeni-panny-marie.jpg
15,Obláčka sv. Norberta (Panna Marie dává sv. Norbertovi bílé řádové roucho),Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI1NzU1OGpwZzI=.jpg,0015_oblacka-sv-norberta-panna-marie-dava-sv-norbertovi-bile-radove-roucho.jpg
16,Sv. Norbert dostává od sv. Augustina knihu řádových pravidel,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI1NzgwN2pwZzI=.jpg,0016_sv-norbert-dostava-od-sv-augustina-knihu-radovych-pravidel.jpg
17,Rút a Bóaz,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI1Nzg1N2pwZzI=.jpg,0017_rut-a-boaz.jpg
18,Sv. Matěj,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI1Nzg4NmpwZzI=.jpg,0018_sv-matej.jpg
19,Ukřižování se sv. Máří Magdalénou,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI1NzkxMmpwZzI=.jpg,0019_ukrizovani-se-sv-mari-magdalenou.jpg
20,Modlící se Panna Marie,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI1NzIxOGpwZzI=.jpg,0020_modlici-se-panna-marie.jpg
21,Umírající sv. Máří Magdaléna,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI1ODA2N2pwZzI=.jpg,0021_umirajici-sv-mari-magdalena.jpg
22,Podobizna Františka Antonína hraběte Šporka,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI1ODA5OGpwZzI=.jpg,0022_podobizna-frantiska-antonina-hrabete-sporka.jpg
