Název,Rok,Autor,Lokalita,Technika,Rozměr,Majitel,Provenience,Inv. číslo,Značeno (petrbrandl.eu),Doloženo,Poznámka (archivní tabulka),Obrázek,Zdroj petrbrandl.eu
Sv. Tomáš Akvinský (opásáván cingulem cudnosti),1704,Petr Brandl,"Litoměřice, Galerie a muzeum litoměřické diecéze","Olej, plátno",237 × 149 cm,Diecéze litoměřická,Obraz původně pochází z bočního oltáře kostela sv. Michaela při klášteře dominikánů v Litoměřicích. Fr. Neugebeuer na dílo věnoval 300 zl. Po zrušení kláštera (1782) se obraz dostal v roce 1806 do budovy diecézního semináře a v témže roce pak do kaple biskupské rezidence v Litoměřicích.,Do-51,"Polokruhově uzavřeno, signováno vlevo dole na pochodni: Petrus Brandl Pinxit 1704","signováno, datováno, archivně doloženo",Umístění dle archivní tabulky: Galerie litoměřické diecéze | č.k. I-46,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTgxOGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=47
Sv. Eustach klečící před bílým jelenem,1707,Petr Brandl,"Litoměřice, Galerie a muzeum litoměřické diecéze","Olej, plátno","64 × 45,5 cm",Diecéze litoměřická,Obraz původně pochází z kaple ve Mstišově a objednal jej František Karel hrabě Clary-Aldringen (1675–1751).,Do-161,Neznačeno,,Umístění dle archivní tabulky: Galerie litoměřické diecéze | č.k. I-47,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTg0MGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=48
"Nejsvětější Trojice s Pannou Marií, sv. Augustinem, sv. Tomášem z Villanovy a sv. Zuzanou",1707,Petr Brandl,"Lnáře, kostel Nejsvětější Trojice","Olej, plátno",410 × 236 cm,Biskupství českobudějovické,Obraz pro kostel Nejsvětější Trojice objednala v roce 1707 Zuzana Renata hraběnka Černínová (1670–1734).,,signováno vpravo od středu na listu otevřené knihy: PETRUS BRANDL,"signováno, archivně doloženo","Umístění dle archivní tabulky: Kostel Nejsvětější Trojice, Lnáře | č.k. I-48",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTg2NmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=49
Stětí sv. Barbory,asi 1699,Petr Brandl,Dlouhodobě zapůjčeno do Muzea a galerie severního Plzeňska v Mariánské Týnici,"Olej, plátno",413 × 293 cm,Plzeňská diecéze – Římskokatolická farnost Plasy a Manětín,"Spolu s obrazem Smrt Izidora a Zavražděním sv. Václava pochází ze hřbitovního kostela sv. Barbory v Manětíně, kde zdobil hlavní oltář. Dílo objednal Václav Josef hrabě Lažanský z Bukové (1673–1715).",,"Vpravo dole na stupni byla falešná signatura provedená J. Teuchnerem, na rubu obrazu byl nápis Dieses Vom Maler P. Brandl gemalte Bild wurde im Jahre 1876 von mir Jos: Teuchner Maler in Manetin neu übermalt. Auf Anregung des der Zeit gewes: H.: Dechants P. Georg Bier.",,"Umístění dle archivní tabulky: Kostel sv. Barbory, Manětín, dlouhodobě zapůjčeno do Mariánské Týnice | č.k. I-49 | Datování dle archivní tabulky: Asi 1699",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTg5M2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=50
Zavraždění sv. Václava,asi 1699,Petr Brandl,"Mariánská Týnice, Muzeum a galerie severního Plzeňska – dlouhodobá zápůjčka","Olej, plátno",260 × 340 cm,Plzeňská diecéze – Římskokatolická farnost Plasy a Manětín,Spolu s obrazem Stětí sv. Barbory a Smrtí sv. Izidora pochází ze hřbitovního kostela sv. Barbory v Manětíně. Dílo objednal Václav Josef hrabě Lažanský z Bukové (1673–1715).,,Neznačeno,,"Umístění dle archivní tabulky: Kostel sv. Barbory, Manětín, dlouhodobě zapůjčeno do Mariánské Týnice | č.k. I-50 | Datování dle archivní tabulky: Asi 1699",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTkyM2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=51
Smrt sv. Izidora,asi 1699,Petr Brandl,"Mariánská Týnice, Muzeum a galerie severního Plzeňska – dlouhodobá zápůjčka","Olej, plátno",260 × 340 cm,Plzeňská diecéze – Římskokatolická farnost Plasy a Manětín,Spolu s obrazem Stětí sv. Barbory a Zavražděním sv. Václava pochází ze hřbitovního kostela sv. Barbory v Manětíně. Dílo objednal Václav Josef hrabě Lažanský z Bukové (1673–1715).,,Neznačeno,,"Umístění dle archivní tabulky: Kostel sv. Barbory, Manětín, dlouhodobě zapůjčeno do Mariánské Týnice | č.k. I-51 | Datování dle archivní tabulky: Asi 1699",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MTk0MmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=52
Panna Marie s dítětem v oblacích,kolem 1699,Petr Brandl a dílna,"Manětín, kostel sv. Jana Křtitele","Olej, plátno",220 × 150 cm,Plzeňská diecéze – Římskokatolická farnost Plasy a Manětín,"Původně byl obraz určen do hřbitovního kostela sv. Barbory v Manětíně, kam jej objednal komorník Václava Josefa hraběte Lažanského (1673–1715) Jakub Drtina.",,Neznačeno,,"Umístění dle archivní tabulky: Kostel sv. Jana Křtitele, Manětín | č.k. I-52 | Datování dle archivní tabulky: Kolem 1699",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjAyMGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=53
Křest Kristův,1715 až 1716,Petr Brandl,"Manětín, kostel sv. Jana Křtitele","Olej, plátno",323 × 223 cm,Plzeňská diecéze – Římskokatolická farnost Plasy a Manětín,Obraz na hlavní oltář kostela sv. Jana Křtitele v Manětíně objednala Marie Gabriela hraběnka Lažanská v roce 1715 za cenu 800 zlatých.,,Signováno vpravo dole: P. BRANDL,"signováno, archivně doloženo","Umístění dle archivní tabulky: Kostel sv. Jana Křtitele, Manětín | č.k. I-53 | Datování dle archivní tabulky: 1715-1716",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjAwMWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=54
Výchova Panny Marie,1716,Petr Brandl,"Manětín, kostel sv. Jana Křtitele","Olej, plátno",270 × 132 cm,Plzeňská diecéze – Římskokatolická farnost Plasy a Manětín,Obraz do kostela sv. Jana Křtitele v Manětíně objednala Marie Gabriela hraběnka Lažanská v roce 1715 za cenu 400 zlatých.,,Signováno vpravo od středu: P. Brandl pinx,"signováno, archivně doloženo","Umístění dle archivní tabulky: Kostel sv. Jana Křtitele, Manětín | č.k. I-54",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjA0OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=55
Sv. Antonín Paduánský s Ježíškem,1716,Petr Brandl,"Manětín, kostel sv. Jana Křtitele","Olej, plátno",270 × 132 cm,Plzeňská diecéze – Římskokatolická farnost Plasy a Manětín,Obraz do kostela sv. Jana Křtitele v Manětíně objednala Marie Gabriela hraběnka Lažanská v roce 1715 za cenu 400 zlatých.,,Signováno vpravo dole: P. Brandl pinx.,"signováno, archivně doloženo","Umístění dle archivní tabulky: Kostel sv. Jana Křtitele, Manětín | č.k. I-56",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODc5MjA5OWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=56
